"","puma","serialno","hh_wt","hh_comb","no_adult","no_teenager","no_schooler","no_preschooler","no_toddler","no_infant","index","hh_size_recode","hh_income_cat","hh_income"
"27","00101","2017000105990",10,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",14800
"28","00101","2017000106908",21,"3:200010",2,0,0,0,1,0,43,3,"$200,000 or more",873000
"29","00101","2017000107307",32,"3:300000",3,0,0,0,0,0,28,3,"$75,000 to $99,999",90000
"30","00101","2017000108145",7,"1:100000",1,0,0,0,0,0,16,1,"$35,000 to $49,999",47020
"31","00101","2017000108830",11,"6:600000",6,0,0,0,0,0,25,5,"$50,000 to $74,999",73000
"32","00101","2017000115141",18,"5:500000",5,0,0,0,0,0,15,5,"$25,000 to $34,999",31100
"33","00101","2017000115827",23,"1:100000",1,0,0,0,0,0,41,1,"$200,000 or more",270000
"34","00101","2017000116826",26,"3:300000",3,0,0,0,0,0,33,3,"$100,000 to $149,999",115000
"35","00101","2017000122069",24,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",255600
"36","00101","2017000124094",25,"5:202100",2,0,2,1,0,0,45,5,"$200,000 or more",250000
"37","00101","2017000130676",21,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",145400
"38","00101","2017000131148",15,"1:100000",1,0,0,0,0,0,16,1,"$35,000 to $49,999",48000
"39","00101","2017000134370",23,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",132500
"40","00101","2017000134376",27,"3:200010",2,0,0,0,1,0,43,3,"$200,000 or more",290000
"41","00101","2017000140519",14,"2:200000",2,0,0,0,0,0,27,2,"$75,000 to $99,999",92400
"42","00101","2017000141619",18,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",136000
"43","00101","2017000145518",24,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",140000
"44","00101","2017000146036",21,"3:200001",2,0,0,0,0,1,38,3,"$150,000 to $199,999",195000
"45","00101","2017000146958",9,"5:211100",2,1,1,1,0,0,40,5,"$150,000 to $199,999",184500
"46","00101","2017000146987",29,"1:100000",1,0,0,0,0,0,41,1,"$200,000 or more",502000
"47","00101","2017000159655",30,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",122000
"48","00101","2017000166122",25,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",799000
"49","00101","2017000171245",13,"2:200000",2,0,0,0,0,0,2,2,"Less than $15,000",9540
"50","00101","2017000175303",29,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",84000
"51","00101","2017000176659",21,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",126000
"52","00101","2017000179069",14,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",389150
"53","00101","2017000180301",21,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",110000
"54","00101","2017000191042",17,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",0
"55","00101","2017000194806",16,"2:200000",2,0,0,0,0,0,37,2,"$150,000 to $199,999",162000
"56","00101","2017000200973",27,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",88500
"57","00101","2017000206283",24,"4:211000",2,1,1,0,0,0,39,4,"$150,000 to $199,999",160000
"58","00101","2017000207668",7,"5:300110",3,0,0,1,1,0,40,5,"$150,000 to $199,999",161600
"59","00101","2017000210185",12,"5:500000",5,0,0,0,0,0,45,5,"$200,000 or more",239900
"60","00101","2017000214184",26,"2:200000",2,0,0,0,0,0,7,2,"$15,000 to $24,999",17000
"61","00101","2017000217896",5,"1:100000",1,0,0,0,0,0,16,1,"$35,000 to $49,999",44900
"62","00101","2017000219991",17,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",60000
"63","00101","2017000226557",27,"1:100000",1,0,0,0,0,0,11,1,"$25,000 to $34,999",26700
"64","00101","2017000229102",28,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",70000
"65","00101","2017000233146",29,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",508400
"66","00101","2017000233573",21,"1:100000",1,0,0,0,0,0,11,1,"$25,000 to $34,999",26500
"67","00101","2017000233813",9,"2:200000",2,0,0,0,0,0,7,2,"$15,000 to $24,999",22500
"68","00101","2017000240547",15,"3:300000",3,0,0,0,0,0,23,3,"$50,000 to $74,999",68900
"69","00101","2017000244936",21,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",251000
"70","00101","2017000245043",25,"5:500000",5,0,0,0,0,0,40,5,"$150,000 to $199,999",166000
"71","00101","2017000248079",15,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",255200
"72","00101","2017000250378",21,"1:100000",1,0,0,0,0,0,36,1,"$150,000 to $199,999",162000
"73","00101","2017000259974",15,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",295000
"74","00101","2017000262165",13,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",59000
"75","00101","2017000268636",10,"5:301100",3,0,1,1,0,0,45,5,"$200,000 or more",447500
"76","00101","2017000269332",12,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",786000
"77","00101","2017000272385",5,"2:200000",2,0,0,0,0,0,2,2,"Less than $15,000",0
"78","00101","2017000274392",32,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",90000
"79","00101","2017000275196",22,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",330500
"80","00101","2017000275365",12,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",396000
"81","00101","2017000275417",13,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",233000
"82","00101","2017000275657",31,"3:201000",2,0,1,0,0,0,43,3,"$200,000 or more",657000
"83","00101","2017000279646",23,"2:200000",2,0,0,0,0,0,22,2,"$50,000 to $74,999",73800
"84","00101","2017000280259",21,"1:100000",1,0,0,0,0,0,41,1,"$200,000 or more",736000
"85","00101","2017000280546",12,"2:200000",2,0,0,0,0,0,12,2,"$25,000 to $34,999",28000
"86","00101","2017000286732",23,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",108200
"87","00101","2017000287165",24,"4:202000",2,0,2,0,0,0,44,4,"$200,000 or more",252000
"88","00101","2017000290174",41,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",88000
"89","00101","2017000292418",12,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",887000
"90","00101","2017000301726",31,"1:100000",1,0,0,0,0,0,36,1,"$150,000 to $199,999",168000
"91","00101","2017000301746",38,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",240000
"92","00101","2017000303828",147,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",372600
"93","00101","2017000304686",22,"3:201000",2,0,1,0,0,0,43,3,"$200,000 or more",615000
"94","00101","2017000307531",18,"2:200000",2,0,0,0,0,0,27,2,"$75,000 to $99,999",85000
"95","00101","2017000315957",22,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",101000
"96","00101","2017000316593",26,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",95000
"97","00101","2017000316957",48,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",148000
"98","00101","2017000320569",8,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",137500
"99","00101","2017000321841",53,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",12000
"100","00101","2017000330528",44,"1:100000",1,0,0,0,0,0,36,1,"$150,000 to $199,999",154000
"101","00101","2017000334444",19,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",95000
"102","00101","2017000334679",17,"5:301100",3,0,1,1,0,0,45,5,"$200,000 or more",279500
"103","00101","2017000334734",31,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",3000
"104","00101","2017000336489",17,"5:211100",2,1,1,1,0,0,30,5,"$75,000 to $99,999",95000
"105","00101","2017000338219",16,"1:100000",1,0,0,0,0,0,41,1,"$200,000 or more",281100
"106","00101","2017000342630",50,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",80000
"107","00101","2017000346799",28,"1:100000",1,0,0,0,0,0,36,1,"$150,000 to $199,999",169500
"108","00101","2017000347098",19,"3:300000",3,0,0,0,0,0,33,3,"$100,000 to $149,999",118000
"109","00101","2017000350438",30,"3:300000",3,0,0,0,0,0,43,3,"$200,000 or more",242100
"110","00101","2017000352947",13,"4:201010",2,0,1,0,1,0,44,4,"$200,000 or more",247430
"111","00101","2017000353308",22,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",110000
"112","00101","2017000354562",28,"4:200110",2,0,0,1,1,0,44,4,"$200,000 or more",320000
"113","00101","2017000357264",7,"2:200000",2,0,0,0,0,0,37,2,"$150,000 to $199,999",170000
"114","00101","2017000357452",12,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",121500
"115","00101","2017000358070",12,"2:200000",2,0,0,0,0,0,37,2,"$150,000 to $199,999",177000
"116","00101","2017000363272",21,"3:120000",1,2,0,0,0,0,43,3,"$200,000 or more",737000
"117","00101","2017000364637",17,"1:100000",1,0,0,0,0,0,6,1,"$15,000 to $24,999",23700
"118","00101","2017000376475",16,"2:200000",2,0,0,0,0,0,2,2,"Less than $15,000",800
"119","00101","2017000380006",20,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",1600
"120","00101","2017000396093",15,"3:300000",3,0,0,0,0,0,28,3,"$75,000 to $99,999",93440
"121","00101","2017000398837",21,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",135500
"122","00101","2017000399715",38,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",90200
"123","00101","2017000401530",17,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",100000
"124","00101","2017000407409",26,"3:200010",2,0,0,0,1,0,23,3,"$50,000 to $74,999",66900
"125","00101","2017000408560",15,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",260000
"126","00101","2017000409540",20,"1:100000",1,0,0,0,0,0,11,1,"$25,000 to $34,999",25000
"127","00101","2017000411135",29,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",736000
"128","00101","2017000413556",14,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",55000
"129","00101","2017000417191",26,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",230000
"130","00101","2017000444718",21,"5:500000",5,0,0,0,0,0,45,5,"$200,000 or more",220400
"131","00101","2017000444895",24,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",111600
"132","00101","2017000447815",20,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",302000
"133","00101","2017000449550",23,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",140000
"134","00101","2017000450005",10,"5:320000",3,2,0,0,0,0,45,5,"$200,000 or more",317600
"135","00101","2017000453891",18,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",149300
"136","00101","2017000453981",22,"4:211000",2,1,1,0,0,0,19,4,"$35,000 to $49,999",42000
"137","00101","2017000458601",19,"3:210000",2,1,0,0,0,0,43,3,"$200,000 or more",857400
"138","00101","2017000462105",26,"2:200000",2,0,0,0,0,0,37,2,"$150,000 to $199,999",160000
"139","00101","2017000465081",49,"4:201010",2,0,1,0,1,0,44,4,"$200,000 or more",212900
"140","00101","2017000469947",11,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",71900
"141","00101","2017000470438",23,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",100000
"142","00101","2017000474531",14,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",108000
"143","00101","2017000478260",34,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",109400
"144","00101","2017000485649",7,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",562900
"145","00101","2017000487821",13,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",90004
"146","00101","2017000488315",40,"1:100000",1,0,0,0,0,0,41,1,"$200,000 or more",210000
"147","00101","2017000491533",111,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",140000
"148","00101","2017000496639",31,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",147300
"149","00101","2017000497551",21,"1:100000",1,0,0,0,0,0,11,1,"$25,000 to $34,999",31030
"150","00101","2017000510264",7,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",805600
"151","00101","2017000512309",16,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",74000
"152","00101","2017000518434",7,"9:810000",8,1,0,0,0,0,45,5,"$200,000 or more",270300
"153","00101","2017000522193",8,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",88000
"154","00101","2017000526235",22,"1:100000",1,0,0,0,0,0,16,1,"$35,000 to $49,999",40000
"155","00101","2017000530859",12,"3:200100",2,0,0,1,0,0,38,3,"$150,000 to $199,999",192000
"156","00101","2017000535924",25,"3:200010",2,0,0,0,1,0,43,3,"$200,000 or more",400350
"157","00101","2017000536474",20,"3:300000",3,0,0,0,0,0,23,3,"$50,000 to $74,999",54900
"158","00101","2017000537590",16,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",455000
"159","00101","2017000540078",15,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",237100
"160","00101","2017000546352",44,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",96900
"161","00101","2017000549693",9,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",100004
"162","00101","2017000551506",8,"3:210000",2,1,0,0,0,0,33,3,"$100,000 to $149,999",110000
"163","00101","2017000553455",30,"3:300000",3,0,0,0,0,0,43,3,"$200,000 or more",385000
"164","00101","2017000553460",28,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",85000
"165","00101","2017000554354",30,"1:100000",1,0,0,0,0,0,36,1,"$150,000 to $199,999",180000
"166","00101","2017000557684",15,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",60000
"167","00101","2017000561824",7,"2:200000",2,0,0,0,0,0,2,2,"Less than $15,000",0
"168","00101","2017000562878",20,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",0
"169","00101","2017000567753",21,"3:210000",2,1,0,0,0,0,43,3,"$200,000 or more",478500
"170","00101","2017000568122",10,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",115000
"171","00101","2017000570083",25,"3:200010",2,0,0,0,1,0,43,3,"$200,000 or more",332000
"172","00101","2017000570558",12,"4:211000",2,1,1,0,0,0,24,4,"$50,000 to $74,999",60000
"173","00101","2017000572237",20,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",320000
"174","00101","2017000572986",11,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",3000
"175","00101","2017000574506",27,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",4
"176","00101","2017000575883",14,"5:211010",2,1,1,0,1,0,45,5,"$200,000 or more",250000
"177","00101","2017000578607",20,"1:100000",1,0,0,0,0,0,41,1,"$200,000 or more",801000
"178","00101","2017000579243",21,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",3300
"179","00101","2017000584429",27,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",53000
"180","00101","2017000594037",25,"1:100000",1,0,0,0,0,0,16,1,"$35,000 to $49,999",49010
"181","00101","2017000599323",12,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",244000
"182","00101","2017000600583",9,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",88500
"183","00101","2017000601212",30,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",113000
"184","00101","2017000603317",11,"2:200000",2,0,0,0,0,0,22,2,"$50,000 to $74,999",54500
"185","00101","2017000604961",11,"5:201200",2,0,1,2,0,0,40,5,"$150,000 to $199,999",192604
"186","00101","2017000605072",12,"2:200000",2,0,0,0,0,0,37,2,"$150,000 to $199,999",182000
"187","00101","2017000606346",52,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",235000
"188","00101","2017000607702",15,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",14000
"189","00101","2017000609380",37,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",91040
"190","00101","2017000612651",29,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",70000
"191","00101","2017000613425",22,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",200000
"192","00101","2017000619424",11,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",54000
"193","00101","2017000621148",13,"1:100000",1,0,0,0,0,0,16,1,"$35,000 to $49,999",38000
"194","00101","2017000621786",15,"3:300000",3,0,0,0,0,0,18,3,"$35,000 to $49,999",39900
"195","00101","2017000629074",12,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",232000
"196","00101","2017000635061",7,"1:100000",1,0,0,0,0,0,6,1,"$15,000 to $24,999",16000
"197","00101","2017000636713",22,"6:312000",3,1,2,0,0,0,45,5,"$200,000 or more",1224300
"198","00101","2017000644537",35,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",55000
"199","00101","2017000648865",5,"2:200000",2,0,0,0,0,0,27,2,"$75,000 to $99,999",87800
"200","00101","2017000653133",34,"2:200000",2,0,0,0,0,0,2,2,"Less than $15,000",1700
"201","00101","2017000654471",63,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",60000
"202","00101","2017000654993",25,"4:400000",4,0,0,0,0,0,4,4,"Less than $15,000",8500
"203","00101","2017000657820",26,"3:200010",2,0,0,0,1,0,43,3,"$200,000 or more",1086000
"204","00101","2017000661132",24,"3:200010",2,0,0,0,1,0,43,3,"$200,000 or more",229000
"205","00101","2017000664212",27,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",126000
"206","00101","2017000666955",9,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",62000
"207","00101","2017000667223",12,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",14700
"208","00101","2017000670811",12,"3:210000",2,1,0,0,0,0,43,3,"$200,000 or more",371000
"209","00101","2017000671709",23,"1:100000",1,0,0,0,0,0,41,1,"$200,000 or more",351000
"210","00101","2017000675968",7,"2:200000",2,0,0,0,0,0,12,2,"$25,000 to $34,999",30000
"211","00101","2017000677435",11,"1:100000",1,0,0,0,0,0,41,1,"$200,000 or more",736000
"212","00101","2017000678496",14,"4:400000",4,0,0,0,0,0,44,4,"$200,000 or more",406700
"213","00101","2017000681581",25,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",767000
"214","00101","2017000683027",19,"3:300000",3,0,0,0,0,0,38,3,"$150,000 to $199,999",164800
"215","00101","2017000688675",12,"5:201110",2,0,1,1,1,0,40,5,"$150,000 to $199,999",180000
"216","00101","2017000688943",20,"3:200001",2,0,0,0,0,1,38,3,"$150,000 to $199,999",188000
"217","00101","2017000697687",27,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",61000
"218","00101","2017000697998",31,"1:100000",1,0,0,0,0,0,41,1,"$200,000 or more",336600
"219","00101","2017000702736",12,"3:210000",2,1,0,0,0,0,43,3,"$200,000 or more",312000
"220","00101","2017000706600",29,"3:210000",2,1,0,0,0,0,3,3,"Less than $15,000",4200
"221","00101","2017000743069",26,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",284000
"222","00101","2017000744633",21,"1:100000",1,0,0,0,0,0,16,1,"$35,000 to $49,999",40300
"223","00101","2017000744795",32,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",89000
"224","00101","2017000746920",39,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",70000
"225","00101","2017000756178",18,"2:200000",2,0,0,0,0,0,37,2,"$150,000 to $199,999",186300
"226","00101","2017000757610",19,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",11000
"227","00101","2017000762620",9,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",117000
"228","00101","2017000768778",23,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",93370
"229","00101","2017000779283",28,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",332100
"230","00101","2017000781037",24,"3:300000",3,0,0,0,0,0,33,3,"$100,000 to $149,999",104000
"231","00101","2017000782494",31,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",770000
"232","00101","2017000795438",6,"4:400000",4,0,0,0,0,0,34,4,"$100,000 to $149,999",134200
"233","00101","2017000795807",11,"1:100000",1,0,0,0,0,0,11,1,"$25,000 to $34,999",25400
"234","00101","2017000795946",19,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",65410
"235","00101","2017000797895",16,"2:200000",2,0,0,0,0,0,22,2,"$50,000 to $74,999",67550
"236","00101","2017000798716",23,"1:100000",1,0,0,0,0,0,36,1,"$150,000 to $199,999",180020
"237","00101","2017000801593",21,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",424900
"238","00101","2017000801778",27,"1:100000",1,0,0,0,0,0,11,1,"$25,000 to $34,999",31600
"239","00101","2017000804989",29,"4:202000",2,0,2,0,0,0,44,4,"$200,000 or more",290000
"240","00101","2017000808240",17,"7:320020",3,2,0,0,2,0,45,5,"$200,000 or more",278800
"241","00101","2017000813009",55,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",242000
"242","00101","2017000817847",19,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",288600
"243","00101","2017000822004",28,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",118600
"244","00101","2017000825853",9,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",119200
"245","00101","2017000829095",23,"2:200000",2,0,0,0,0,0,37,2,"$150,000 to $199,999",166000
"246","00101","2017000829582",21,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",63600
"247","00101","2017000829599",18,"4:201100",2,0,1,1,0,0,39,4,"$150,000 to $199,999",160000
"248","00101","2017000830726",20,"1:100000",1,0,0,0,0,0,36,1,"$150,000 to $199,999",192000
"249","00101","2017000831674",28,"3:210000",2,1,0,0,0,0,33,3,"$100,000 to $149,999",128650
"250","00101","2017000837156",23,"4:200110",2,0,0,1,1,0,44,4,"$200,000 or more",470000
"251","00101","2017000840751",28,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",80700
"252","00101","2017000844228",25,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",230000
"253","00101","2017000845861",17,"1:100000",1,0,0,0,0,0,41,1,"$200,000 or more",300500
"254","00101","2017000846194",7,"4:400000",4,0,0,0,0,0,34,4,"$100,000 to $149,999",137500
"255","00101","2017000846269",21,"5:500000",5,0,0,0,0,0,45,5,"$200,000 or more",648100
"256","00101","2017000847989",12,"5:302000",3,0,2,0,0,0,45,5,"$200,000 or more",311000
"257","00101","2017000851620",19,"1:100000",1,0,0,0,0,0,6,1,"$15,000 to $24,999",18000
"258","00101","2017000851633",17,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",720
"259","00101","2017000852116",8,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",56000
"260","00101","2017000863803",24,"2:200000",2,0,0,0,0,0,37,2,"$150,000 to $199,999",154500
"261","00101","2017000865814",38,"1:100000",1,0,0,0,0,0,41,1,"$200,000 or more",324000
"262","00101","2017000867247",30,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",139100
"263","00101","2017000868915",33,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",56900
"264","00101","2017000873405",16,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",130000
"265","00101","2017000875121",15,"4:202000",2,0,2,0,0,0,44,4,"$200,000 or more",247000
"266","00101","2017000880690",21,"2:200000",2,0,0,0,0,0,22,2,"$50,000 to $74,999",58500
"267","00101","2017000885056",40,"1:100000",1,0,0,0,0,0,1,1,"Less than $15,000",0
"268","00101","2017000885683",43,"3:200010",2,0,0,0,1,0,23,3,"$50,000 to $74,999",55000
"269","00101","2017000886554",17,"2:200000",2,0,0,0,0,0,37,2,"$150,000 to $199,999",150000
"270","00101","2017000886899",19,"4:400000",4,0,0,0,0,0,44,4,"$200,000 or more",206500
"271","00101","2017000888564",20,"1:100000",1,0,0,0,0,0,41,1,"$200,000 or more",766000
"272","00101","2017000892906",27,"1:100000",1,0,0,0,0,0,11,1,"$25,000 to $34,999",29500
"273","00101","2017000895670",15,"4:211000",2,1,1,0,0,0,44,4,"$200,000 or more",300000
"274","00101","2017000895759",10,"1:100000",1,0,0,0,0,0,16,1,"$35,000 to $49,999",45000
"275","00101","2017000896086",31,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",496400
"276","00101","2017000897517",7,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",764000
"277","00101","2017000912748",10,"5:311000",3,1,1,0,0,0,45,5,"$200,000 or more",750000
"278","00101","2017000914300",7,"7:600100",6,0,0,1,0,0,45,5,"$200,000 or more",387000
