"","puma","serialno","hh_wt","hh_comb","no_adult","no_teenager","no_schooler","no_preschooler","no_toddler","no_infant","index","hh_size_recode","hh_income_cat","hh_income"
"1","00101","2017000007632",11,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",54000
"2","00101","2017000016380",25,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",96000
"3","00101","2017000025670",34,"2:200000",2,0,0,0,0,0,22,2,"$50,000 to $74,999",65000
"4","00101","2017000027494",25,"3:120000",1,2,0,0,0,0,28,3,"$75,000 to $99,999",99000
"5","00101","2017000035314",23,"3:300000",3,0,0,0,0,0,28,3,"$75,000 to $99,999",99500
"6","00101","2017000035644",26,"1:100000",1,0,0,0,0,0,36,1,"$150,000 to $199,999",194000
"7","00101","2017000041407",24,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",390000
"8","00101","2017000043045",11,"3:201000",2,0,1,0,0,0,23,3,"$50,000 to $74,999",66200
"9","00101","2017000046583",24,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",294000
"10","00101","2017000058564",19,"3:210000",2,1,0,0,0,0,43,3,"$200,000 or more",445000
"11","00101","2017000066318",19,"1:100000",1,0,0,0,0,0,26,1,"$75,000 to $99,999",75000
"12","00101","2017000070855",20,"4:201100",2,0,1,1,0,0,39,4,"$150,000 to $199,999",173000
"13","00101","2017000070946",17,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",50000
"14","00101","2017000072380",20,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",736000
"15","00101","2017000073062",16,"2:200000",2,0,0,0,0,0,37,2,"$150,000 to $199,999",185000
"16","00101","2017000077414",7,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",286300
"17","00101","2017000079475",23,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",201000
"18","00101","2017000085341",9,"2:200000",2,0,0,0,0,0,17,2,"$35,000 to $49,999",47400
"19","00101","2017000087446",41,"1:100000",1,0,0,0,0,0,16,1,"$35,000 to $49,999",40600
"20","00101","2017000088921",30,"1:100000",1,0,0,0,0,0,36,1,"$150,000 to $199,999",151600
"21","00101","2017000089392",20,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",125000
"22","00101","2017000094761",22,"1:100000",1,0,0,0,0,0,21,1,"$50,000 to $74,999",50000
"23","00101","2017000101456",26,"1:100000",1,0,0,0,0,0,31,1,"$100,000 to $149,999",127000
"24","00101","2017000102490",15,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",111940
"25","00101","2017000104025",21,"2:200000",2,0,0,0,0,0,42,2,"$200,000 or more",390000
"26","00101","2017000105317",20,"2:200000",2,0,0,0,0,0,32,2,"$100,000 to $149,999",128000
