geoid,income_recode,size_recode,ipf,tract,puma
11001000101,1,1,0,101,106
11001000101,2,1,16,101,106
11001000101,3,1,26,101,106
11001000101,4,1,0,101,106
11001000101,5,1,33,101,106
11001000101,6,1,6,101,106
11001000101,7,1,98,101,106
11001000101,8,1,92,101,106
11001000101,9,1,138,101,106
11001000101,1,2,0,101,106
11001000101,2,2,9,101,106
11001000101,3,2,29,101,106
11001000101,4,2,0,101,106
11001000101,5,2,7,101,106
11001000101,6,2,2,101,106
11001000101,7,2,59,101,106
11001000101,8,2,58,101,106
11001000101,9,2,104,101,106
11001000101,1,3,0,101,106
11001000101,2,3,0,101,106
11001000101,3,3,10,101,106
11001000101,4,3,0,101,106
11001000101,5,3,3,101,106
11001000101,6,3,0,101,106
11001000101,7,3,11,101,106
11001000101,8,3,12,101,106
11001000101,9,3,30,101,106
11001000101,1,4,0,101,106
11001000101,2,4,0,101,106
11001000101,3,4,0,101,106
11001000101,4,4,0,101,106
11001000101,5,4,0,101,106
11001000101,6,4,0,101,106
11001000101,7,4,0,101,106
11001000101,8,4,0,101,106
11001000101,9,4,0,101,106
11001000101,1,5,0,101,106
11001000101,2,5,0,101,106
11001000101,3,5,3,101,106
11001000101,4,5,0,101,106
11001000101,5,5,3,101,106
11001000101,6,5,0,101,106
11001000101,7,5,4,101,106
11001000101,8,5,7,101,106
11001000101,9,5,0,101,106
11001000102,1,1,7,102,101
11001000102,2,1,19,102,101
11001000102,3,1,0,102,101
11001000102,4,1,10,102,101
11001000102,5,1,87,102,101
11001000102,6,1,39,102,101
11001000102,7,1,174,102,101
11001000102,8,1,107,102,101
11001000102,9,1,213,102,101
11001000102,1,2,6,102,101
11001000102,2,2,10,102,101
11001000102,3,2,0,102,101
11001000102,4,2,32,102,101
11001000102,5,2,136,102,101
11001000102,6,2,20,102,101
11001000102,7,2,137,102,101
11001000102,8,2,62,102,101
11001000102,9,2,490,102,101
11001000102,1,3,1,102,101
11001000102,2,3,1,102,101
11001000102,3,3,0,102,101
11001000102,4,3,13,102,101
11001000102,5,3,7,102,101
11001000102,6,3,2,102,101
11001000102,7,3,16,102,101
11001000102,8,3,11,102,101
11001000102,9,3,31,102,101
11001000102,1,4,0,102,101
11001000102,2,4,3,102,101
11001000102,3,4,0,102,101
11001000102,4,4,16,102,101
11001000102,5,4,43,102,101
11001000102,6,4,5,102,101
11001000102,7,4,4,102,101
11001000102,8,4,11,102,101
11001000102,9,4,68,102,101
11001000102,1,5,0,102,101
11001000102,2,5,0,102,101
11001000102,3,5,0,102,101
11001000102,4,5,8,102,101
11001000102,5,5,6,102,101
11001000102,6,5,3,102,101
11001000102,7,5,3,102,101
11001000102,8,5,3,102,101
11001000102,9,5,1,102,101
11001000201,1,1,0,201,101
11001000201,2,1,0,201,101
11001000201,3,1,0,201,101
11001000201,4,1,0,201,101
11001000201,5,1,0,201,101
11001000201,6,1,0,201,101
11001000201,7,1,0,201,101
11001000201,8,1,0,201,101
11001000201,9,1,0,201,101
11001000201,1,2,0,201,101
11001000201,2,2,0,201,101
11001000201,3,2,0,201,101
11001000201,4,2,0,201,101
11001000201,5,2,0,201,101
11001000201,6,2,0,201,101
11001000201,7,2,0,201,101
11001000201,8,2,0,201,101
11001000201,9,2,0,201,101
11001000201,1,3,0,201,101
11001000201,2,3,0,201,101
11001000201,3,3,0,201,101
11001000201,4,3,0,201,101
